10-20media.com,10-20-media-inc,"10-20 Media, Inc.",No description.,21797,Woodbine,MD,USA,10-20-Media,,http://10-20media.com,gaming 
11bitstudios.com,11-bit-studios-sa,11 bit studios S.A.,No description.,,,,,11bitstudios,,http://11bitstudios.com,gaming 
1cpublishing.eu,1c-softclub,1C-Softclub,No description.,,,,CZE,1C-Publishing-EU,,http://1cpublishing.eu,gaming 
1der-ent.com,1der_entertainment,1DER Entertainment,No description.,,,,,,,http://1der-ent.com,gaming 
1-page.com,1-page,1-Page,No description.,94111,San Francisco,CA,USA,,1pageproposal,http://1-page.com,software;
1st2c.com,1st2ccom,1st2c.com,No description.,,,,,,,http://1st2c.com,agency;
1stplayable.com,1st-playable-productions,1st Playable Productions,No description.,,,,,1st-Playable-Productions,,http://1stplayable.com,gaming 
212ltd.com,212,212,No description.,,,,,,,http://212ltd.com,venture capital;
24gorillaz.com,24gorillaz,24goRiLLaZ,No description.,,,,,,,http://24gorillaz.com,agency;
24mas.com,24_mas,24 MAS,No description.,,,,,,,http://24mas.com,mobile advertising;gaming 
2clams.com,2clams,2clams,No description.,94104,San Francisco,CA,USA,2clams-studios-inc,2clams,http://2clams.com,gaming 
2kgames.com,2k,2K Games,No description.,,,,,2kgames,,http://2kgames.com,gaming 
2ndwatch.com,2nd-watch-inc,"2nd Watch, Inc.","2nd Watch is a global system integrator, software and deployment firm focused on IT operations.  We specialize in integrating and extending your datacenter and leveraging your existing toolsets. Our expertise is our ability to provide the knowledge, experience and flexibility needed to launch your application on the cloud. We specialize in Cloud adoption and have developed strategies and software solutions to enable our clients to experience increased network uptime, performance, IT cost savings and profits. From evaluation to deployment and ongoing maintenance the experienced 2nd Watch team provides a full-service Cloud IT solution.",,,,,,,http://2ndwatch.com,system integration;sharepoint 
314e.com,314e-corporation,314e Corporation,No description.,,,,,,,http://314e.com,healthcare;
360capitalpartners.com,360-capital-partners,360 Capital Partners,No description.,,,,,,,http://360capitalpartners.com,venture capital;
3d-bee.com,vefxi,VEFXi,No description.,,,,,3DBee,,http://3d-bee.com,hardware;video;gaming 
3dconnexion.com,3dconnexion-inc,"3Dconnexion, Inc.",No description.,48307,Rochester,MI,USA,3Dconnexion,,http://3dconnexion.com,hardware;gaming 
3dduo.com,3dduo,3DDUO,No description.,,,,,,,http://3dduo.com,agency;gaming 
3dsystems.com,3d-systems-corporation,3D Systems Corporation,No description.,29730,Rock Hill,SC,USA,3dsystemscorp,,http://3dsystems.com,education 
3i.com,3i,3i,No description.,,,,,,,http://3i.com,venture capital;
3m.com,3m,3M,No description.,55144,3 M,MN,USA,3MCorporate,,http://3m.com,enterprise healthcare;
4players.de,4players,4Players,No description.,,,,DEU,,,http://4players.de,gaming 
4-real.de,4-real-intermedia,4-Real Intermedia,No description.,,,,,,,http://4-real.de,gaming 
4t2.co.uk,4t2-multimedia,4T2 Multimedia,No description.,,,,,4T2-Multimedia,,http://4t2.co.uk,gaming 
4thmm.com,4th-monkey-media,4th Monkey Media,No description.,,,,,Fourth-Monkey-Media,,http://4thmm.com,gaming 
505games.com,505-games,505 Games,No description.,,,,,,,http://505games.com,gaming 
5nine.com,5nine-software-inc,"5nine Software, Inc.",No description.,,,,,5NineFans,,http://5nine.com,
5oceansmedia.com,5-oceans,5 Oceans,No description.,,,,,5-Oceans-Media,,http://5oceansmedia.com,
5thplanetgames.com,5th-planet-games,5th Planet Games,No description.,,,,,5thPlanetGames,,http://5thplanetgames.com,gaming 
6fusion.com,6fusion-usa-inc,6Fusion USA Inc.,No description.,27606,Raleigh,NC,USA,6fusion,6fusion,http://6fusion.com,software;
